コントロールカラム,商品管理番号（商品URL）,商品名,表示先カテゴリ,優先度,URL,1ページ複数形式
"","10003832","クレオス　Ｍｒ．カラー　０７５　メタリックレッド","塗料・工具\塗料\クレオス\Ｍｒ．カラー","75","http://item.rakuten.co.jp/sportshobby/c/0000000396/",""
"","10003833","クレオス　Ｍｒ．カラー　０７６　メタリックブルー","塗料・工具\塗料\クレオス\Ｍｒ．カラー","76","http://item.rakuten.co.jp/sportshobby/c/0000000396/",""
"","10003834","HIROBO  0412-292  FZ-Vヨーク","ヘリコプター\エンジンヘリパーツ\HIROBO SDX パーツ","999999999","http://item.rakuten.co.jp/sportshobby/c/0000000318/",""
"","10003835","クレオス　Ｍｒ．カラー　０７７　メタリックグリーン","塗料・工具\塗料\クレオス\Ｍｒ．カラー","77","http://item.rakuten.co.jp/sportshobby/c/0000000396/",""
"","10003836","HIROBO  0412-293  FZ-V ブレードホルダー","ヘリコプター\エンジンヘリパーツ\HIROBO SDX パーツ","999999999","http://item.rakuten.co.jp/sportshobby/c/0000000318/",""
"","10003837","クレオス　Ｍｒ．カラー　０７８　メタルブラック","塗料・工具\塗料\クレオス\Ｍｒ．カラー","78","http://item.rakuten.co.jp/sportshobby/c/0000000396/",""
"","10003838","HIROBO  0412-294  FZ-V ブレードスペーサー","ヘリコプター\エンジンヘリパーツ\HIROBO SDX パーツ","999999999","http://item.rakuten.co.jp/sportshobby/c/0000000318/",""
"","10003839","クレオス　Ｍｒ．カラー　０７９　シャインレッド 光沢","塗料・工具\塗料\クレオス\Ｍｒ．カラー","79","http://item.rakuten.co.jp/sportshobby/c/0000000396/",""
"","10003840","HIROBO  0412-295  FZ-V φ8スフェリカルブッシュ","ヘリコプター\エンジンヘリパーツ\HIROBO SDX パーツ","999999999","http://item.rakuten.co.jp/sportshobby/c/0000000318/",""
"","10003841","クレオス　Ｍｒ．カラー　０８０　コバルトブルー","塗料・工具\塗料\クレオス\Ｍｒ．カラー","80","http://item.rakuten.co.jp/sportshobby/c/0000000396/",""
"","10003842","HIROBO  0412-296  FZ-V ダンパーゴム","ヘリコプター\エンジンヘリパーツ\HIROBO SDX パーツ","999999999","http://item.rakuten.co.jp/sportshobby/c/0000000318/",""
"","10003843","クレオス　Ｍｒ．カラー　０８１　あずき色","塗料・工具\塗料\クレオス\Ｍｒ．カラー","81","http://item.rakuten.co.jp/sportshobby/c/0000000396/",""
"","10003844","HIROBO  0412-297  FZ-V センターハブ","ヘリコプター\エンジンヘリパーツ\HIROBO SDX パーツ","999999999","http://item.rakuten.co.jp/sportshobby/c/0000000318/",""
